,index,Company,TypeName,Inches,OpSys,Price,Resolution,Screen,Cpu Company,Cpu Core,Memory Size,Memory Type,Gpu Company,Weight Range,Ram Size,GHZ Size
40,311,Dell,Ultrabook,13.3,Windows 10,217937,3840x2160,IPS Panel,Intel,i7,1TB,SSD,Intel,1-2 kg,16,1.8
41,329,Dell,Notebook,15.6,Windows 10,230147,3840x2160,4K Ultra,Intel,i7,1TB,SSD,Nvidia,2-3 kg,32,2.8
42,344,Dell,Ultrabook,13.3,Windows 10,137704,1920x1080,Missing,Intel,i7,256GB,SSD,Intel,1-2 kg,8,1.8
43,347,Dell,Ultrabook,15.6,Windows 10,140230,1920x1080,Missing,Intel,i7,512GB,SSD,Intel,1-2 kg,16,1.9
44,350,Dell,Notebook,15.6,Windows 10,176811,3840x2160,4K Ultra,Intel,i7,512GB,SSD,Nvidia,2-3 kg,16,2.8
45,355,Dell,Notebook,15.6,Windows 10,84672,1920x1080,Missing,Intel,i7,128GB,Hybride,AMD,2-3 kg,8,1.8
46,368,Dell,Notebook,15.6,Windows 10,78401,1920x1080,Missing,Intel,i7,256GB,SSD,AMD,2-3 kg,8,2.7
47,374,Dell,2 in 1 Convertible,13.3,Windows 10,75786,1920x1080,Full HD,Intel,i7,256GB,SSD,Intel,1-2 kg,8,1.8
48,388,Dell,Workstation,15.6,Windows 10,186193,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Nvidia,3-4 kg,8,2.7
49,394,Dell,Notebook,15.6,Linux,67925,1920x1080,Missing,Intel,i7,256GB,SSD,AMD,2-3 kg,8,2.7
50,398,Dell,Workstation,15.6,Windows 10,236513,3840x2160,4K Ultra,Intel,i7,256GB,SSD,Nvidia,1-2 kg,8,2.8
51,407,Dell,Ultrabook,14.0,Windows 10,146512,1920x1080,Missing,Intel,i7,512GB,SSD,Intel,1-2 kg,8,2.8
52,424,Dell,Gaming,17.3,Windows 10,244100,2560x1440,Missing,Intel,i7,256GB,Hybride,Nvidia,3-4 kg,16,2.9
53,425,Dell,Gaming,15.6,Windows 10,101076,1920x1080,IPS Panel,Intel,i7,128GB,Hybride,Nvidia,2-3 kg,8,2.8
54,426,Dell,Notebook,15.6,Windows 10,99628,1920x1080,Missing,Intel,i7,256GB,Hybride,AMD,2-3 kg,8,1.8
55,427,Dell,Ultrabook,14.0,Linux,95843,1920x1080,Missing,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.8
56,451,Dell,Workstation,15.6,Windows 10,172239,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Nvidia,2-3 kg,16,2.7
57,454,Dell,Notebook,15.6,Windows 10,85378,1920x1080,Missing,Intel,i7,128GB,Hybride,AMD,2-3 kg,8,1.8
58,456,Dell,Notebook,17.3,Windows 10,178431,1920x1080,IPS Panel,Intel,i7,1TB,HDD,Nvidia,3-4 kg,8,2.7
59,476,Dell,Workstation,15.6,Windows 10,210001,1920x1080,Missing,Intel,i7,256GB,SSD,Nvidia,1-2 kg,8,2.8
60,480,Dell,Notebook,15.6,Windows 10,110059,1920x1080,IPS Panel,Intel,i7,512GB,SSD,Nvidia,2-3 kg,8,1.8
61,486,Dell,Workstation,15.6,Windows 10,203896,1920x1080,IPS Panel,Intel,i7,512GB,SSD,Nvidia,2-3 kg,16,2.7
62,487,Dell,Notebook,15.6,Windows 10,165611,1920x1080,Missing,Intel,i7,512GB,SSD,Nvidia,2-3 kg,16,2.8
63,513,Dell,Notebook,15.6,Windows 10,106329,1920x1080,Missing,Intel,i7,256GB,Hybride,AMD,2-3 kg,16,1.8
64,530,Dell,Gaming,17.3,Windows 10,262743,1920x1080,IPS Panel,Intel,i7,128GB,Hybride,Nvidia,3-4 kg,16,2.8
65,535,Dell,Notebook,15.6,Windows 10,119390,1920x1080,Missing,Intel,i7,256GB,SSD,Nvidia,1-2 kg,8,2.8
66,540,Dell,Ultrabook,13.3,Windows 10,122006,3200x1800,Quad HD+,Intel,i7,256GB,SSD,Intel,1-2 kg,8,1.8
67,552,Dell,Gaming,17.3,Windows 10,235379,1920x1080,IPS Panel,Intel,i7,256GB,Hybride,Nvidia,3-4 kg,16,2.8
68,579,Dell,Notebook,15.6,Linux,65321,1920x1080,Missing,Intel,i7,256GB,SSD,AMD,2-3 kg,8,2.7
69,583,Dell,Notebook,15.6,Windows 10,134075,1920x1080,Missing,Intel,i7,256GB,SSD,Nvidia,1-2 kg,16,2.8
70,599,Dell,Workstation,15.6,Windows 10,153751,1920x1080,Full HD,Intel,i7,256GB,SSD,Nvidia,2-3 kg,8,2.8
71,611,Dell,Gaming,15.6,Windows 10,76658,1920x1080,Missing,Intel,i7,1TB,HDD,Nvidia,2-3 kg,16,2.6
72,629,Dell,Notebook,15.6,Windows 10,158722,1920x1080,Missing,Intel,i7,256GB,SSD,Nvidia,3-4 kg,8,2.8
73,631,Dell,Gaming,15.6,Windows 10,128983,1920x1080,Missing,Intel,i7,256GB,Hybride,Nvidia,2-3 kg,16,2.8
74,639,Dell,Notebook,15.6,Windows 10,209216,3840x2160,4K Ultra,Intel,i7,1TB,SSD,Nvidia,2-3 kg,16,2.8
75,656,Dell,Notebook,15.6,Windows 10,80145,1920x1080,Missing,Intel,i7,256GB,SSD,AMD,2-3 kg,8,1.8
76,657,Dell,Notebook,15.6,Windows 10,98983,1920x1080,Missing,Intel,i7,256GB,Hybride,AMD,2-3 kg,16,1.8
77,659,Dell,Gaming,17.3,Windows 10,274482,3840x2160,IPS Panel,Intel,i7,512GB,Hybride,Nvidia,3-4 kg,32,2.8
78,685,Dell,Gaming,15.6,Windows 10,245387,1920x1080,Missing,Intel,i7,256GB,Hybride,Nvidia,3-4 kg,16,2.9
79,723,Dell,Gaming,17.3,Windows 10,319136,3840x2160,4K Ultra,Intel,i7,1TB,Hybride,Nvidia,3-4 kg,32,2.8
80,740,Dell,Notebook,15.6,Windows 10,105262,1920x1080,Missing,Intel,i7,128GB,Hybride,Nvidia,3-4 kg,8,2.7
81,758,Dell,Gaming,15.6,Windows 10,250204,3840x2160,IPS Panel,Intel,i7,256GB,Hybride,Nvidia,3-4 kg,16,2.8
82,761,Dell,Ultrabook,12.5,Windows 10,162123,1920x1080,Missing,Intel,i7,256GB,SSD,Intel,1-2 kg,16,2.8
83,767,Dell,Gaming,15.6,Windows 10,95843,3840x2160,IPS Panel,Intel,i7,128GB,Hybride,Nvidia,2-3 kg,16,2.6
84,770,Dell,Notebook,15.6,Windows 10,103018,1920x1080,Missing,Intel,i7,256GB,SSD,AMD,2-3 kg,16,2.7
85,773,Dell,Gaming,15.6,Windows 10,95843,1920x1080,Missing,Intel,i7,1TB,HDD,Nvidia,2-3 kg,8,2.8
86,780,Dell,Gaming,17.3,Windows 10,312979,1920x1080,IPS Panel,Intel,i7,1TB,Hybride,Nvidia,3-4 kg,32,2.8
87,808,Dell,Gaming,15.6,Windows 10,146425,3840x2160,4K Ultra,Intel,i7,512GB,SSD,Nvidia,2-3 kg,16,2.8
88,813,Dell,Notebook,15.6,Windows 10,83808,1920x1080,Missing,Intel,i7,1TB,HDD,Nvidia,1-2 kg,8,2.7
89,818,Dell,Gaming,17.3,Windows 10,218462,1920x1080,IPS Panel,Intel,i7,128GB,Hybride,Nvidia,3-4 kg,16,2.8
90,835,Dell,Gaming,15.6,Windows 10,241975,1920x1080,Missing,Intel,i7,256GB,Hybride,Nvidia,3-4 kg,16,2.8
91,841,Dell,Gaming,17.3,Windows 10,267986,1920x1080,IPS Panel,Intel,i7,512GB,Hybride,Nvidia,3-4 kg,32,2.8
92,845,Dell,Notebook,15.6,Windows 10,64448,1920x1080,Missing,Intel,i7,256GB,SSD,AMD,2-3 kg,4,2.7
93,852,Dell,Notebook,17.3,Linux,75436,1920x1080,Missing,Intel,i7,1TB,HDD,AMD,2-3 kg,8,2.7
94,864,Dell,Ultrabook,13.3,Windows 10,195350,3200x1800,Quad HD+,Intel,i7,512GB,SSD,Intel,1-2 kg,16,2.5
95,869,Dell,Workstation,15.6,Windows 10,155059,1920x1080,Missing,Intel,i7,1TB,HDD,Nvidia,2-3 kg,8,2.8
96,875,Dell,Ultrabook,12.5,Windows 10,147384,1920x1080,Missing,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.8
97,896,Dell,Gaming,15.6,Linux,81018,1920x1080,Missing,Intel,i7,1TB,HDD,Nvidia,2-3 kg,8,2.8
98,900,Dell,2 in 1 Convertible,13.3,Windows 10,175562,3200x1800,Quad HD+,Intel,i7,512GB,SSD,Intel,1-2 kg,8,1.3
99,902,Dell,2 in 1 Convertible,13.3,Windows 10,143809,1920x1080,Full HD,Intel,i7,256GB,SSD,Intel,1-2 kg,16,1.3
100,918,Dell,Gaming,15.6,Windows 10,117646,1920x1080,Missing,Intel,i7,128GB,Hybride,Nvidia,2-3 kg,16,2.8
101,939,Dell,Gaming,17.3,Windows 10,240525,2560x1440,Missing,Intel,i7,512GB,Hybride,Nvidia,3-4 kg,16,2.7
102,951,Dell,Ultrabook,14.0,Windows 10,154797,1920x1080,Missing,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.8
103,955,Dell,Gaming,17.3,Windows 10,275060,3840x2160,IPS Panel,Intel,i7,512GB,Hybride,Nvidia,3-4 kg,16,2.8
104,958,Dell,Ultrabook,13.3,Windows 10,110582,3200x1800,Missing,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.5
105,968,Dell,Gaming,17.3,Windows 10,274624,1920x1080,IPS Panel,Intel,i7,256GB,Hybride,Nvidia,3-4 kg,32,2.8
106,970,Dell,2 in 1 Convertible,13.3,Windows 10,165611,3200x1800,Quad HD+,Intel,i7,512GB,SSD,Intel,1-2 kg,16,1.3
107,971,Dell,Ultrabook,14.0,Windows 10,171191,2560x1440,Missing,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.6
108,972,Dell,Gaming,17.3,Windows 10,244187,1920x1080,Missing,Intel,i7,256GB,Hybride,Nvidia,3-4 kg,32,2.6
109,980,Dell,2 in 1 Convertible,15.6,Windows 10,113285,1920x1080,IPS Panel,Intel,i7,512GB,SSD,Intel,2-3 kg,12,2.7
110,988,Dell,Notebook,15.6,Windows 10,65320,1366x768,Missing,Intel,i7,1TB,HDD,AMD,2-3 kg,8,2.7
111,1054,Dell,Ultrabook,13.3,Windows 10,196571,3200x1800,Quad HD+,Intel,i7,1TB,SSD,Intel,1-2 kg,16,2.7
112,1058,Dell,2 in 1 Convertible,13.3,Windows 10,113285,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Intel,1-2 kg,12,2.7
113,1063,Dell,Notebook,15.6,Windows 10,86337,1920x1080,Missing,Intel,i7,2TB,HDD,AMD,2-3 kg,16,2.7
114,1065,Dell,Ultrabook,13.3,Windows 10,127152,1920x1080,Missing,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.7
115,1067,Dell,2 in 1 Convertible,13.3,Windows 10,69594,1920x1080,Full HD,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.5
116,1068,Dell,Gaming,15.6,Windows 10,115902,3840x2160,4K Ultra,Intel,i7,256GB,Hybride,Nvidia,3-4 kg,16,2.6
117,1115,Dell,Ultrabook,13.3,Windows 10,120262,1920x1080,Missing,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.4
118,1147,Dell,Notebook,15.6,Windows 10,88073,1920x1080,Missing,Intel,i7,256GB,SSD,Nvidia,2-3 kg,8,2.7
119,1153,Dell,Gaming,15.6,Windows 10,104564,1920x1080,Missing,Intel,i7,1TB,HDD,Nvidia,2-3 kg,8,2.8
120,1165,Dell,Gaming,15.6,Windows 10,130640,3840x2160,4K Ultra,Intel,i7,128GB,Hybride,Nvidia,2-3 kg,8,2.8
121,1182,Dell,Notebook,15.6,Linux,78053,1920x1080,Missing,Intel,i7,256GB,SSD,Nvidia,1-2 kg,8,2.7
122,1186,Dell,2 in 1 Convertible,15.6,Windows 10,102820,1920x1080,Full HD,Intel,i7,512GB,SSD,Intel,2-3 kg,16,2.7
123,1202,Dell,2 in 1 Convertible,15.6,Windows 10,112064,1920x1080,Full HD,Intel,i7,512GB,SSD,Intel,3-4 kg,16,1.8
124,1203,Dell,Ultrabook,13.3,Windows 10,233722,3200x1800,Quad HD+,Intel,i7,512GB,SSD,Intel,1-2 kg,16,2.7
125,1226,Dell,Ultrabook,13.3,Windows 10,128809,3200x1800,Quad HD+,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.7
126,1243,Dell,2 in 1 Convertible,17.3,Windows 10,156890,1920x1080,Full HD,Intel,i7,512GB,SSD,Nvidia,2-3 kg,16,2.7
127,1267,Dell,Notebook,15.6,Linux,70290,1366x768,Missing,Intel,i7,1TB,HDD,AMD,2-3 kg,8,2.7
128,1281,Dell,Notebook,15.6,Linux,70290,1366x768,Missing,Intel,i7,1TB,HDD,AMD,2-3 kg,8,2.7
129,1295,Dell,Notebook,15.6,Linux,70290,1366x768,Missing,Intel,i7,1TB,HDD,AMD,2-3 kg,8,2.7
130,109,Lenovo,Notebook,14.0,Windows 10,129070,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.7
131,142,Lenovo,Gaming,15.6,No OS,75785,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Nvidia,2-3 kg,8,2.8
132,163,Lenovo,Gaming,15.6,Windows 10,94099,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Nvidia,2-3 kg,16,2.8
133,182,Lenovo,2 in 1 Convertible,13.9,Windows 10,161251,3840x2160,IPS Panel,Intel,i7,512GB,SSD,Intel,1-2 kg,16,1.8
134,190,Lenovo,2 in 1 Convertible,14.0,Windows 10,246281,2560x1440,Missing,Intel,i7,1TB,SSD,Intel,1-2 kg,16,2.7
135,203,Lenovo,Gaming,15.6,Windows 10,152530,1920x1080,IPS Panel,Intel,i7,512GB,Hybride,Nvidia,3-4 kg,16,2.8
136,205,Lenovo,Gaming,15.6,No OS,121919,1920x1080,Missing,Intel,i7,512GB,SSD,Nvidia,2-3 kg,16,2.8
137,232,Lenovo,Gaming,15.6,Windows 10,130727,1920x1080,IPS Panel,Intel,i7,256GB,Hybride,Nvidia,3-4 kg,16,2.8
138,244,Lenovo,2 in 1 Convertible,13.9,Windows 10,94099,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.7
139,253,Lenovo,2 in 1 Convertible,13.9,Windows 10,161251,1920x1080,IPS Panel,Intel,i7,512GB,SSD,Intel,1-2 kg,8,1.8
140,259,Lenovo,2 in 1 Convertible,15.6,Windows 10,148169,1920x1080,IPS Panel,Intel,i7,512GB,SSD,Nvidia,3-4 kg,8,2.8
141,269,Lenovo,Notebook,15.6,Windows 10,76744,1920x1080,Missing,Intel,i7,256GB,SSD,Intel,2-3 kg,8,1.8
142,273,Lenovo,2 in 1 Convertible,14.0,Windows 10,217937,2560x1440,Missing,Intel,i7,512GB,SSD,Intel,1-2 kg,16,2.6
143,279,Lenovo,Notebook,17.3,No OS,74041,1920x1080,Missing,Intel,i7,2TB,HDD,Nvidia,2-3 kg,8,1.8
144,280,Lenovo,Notebook,17.3,Windows 10,74913,1600x900,Missing,Intel,i7,128GB,Hybride,Nvidia,2-3 kg,6,2.7
145,286,Lenovo,Notebook,15.6,Windows 10,95669,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.7
146,288,Lenovo,Gaming,15.6,Windows 10,102820,1920x1080,IPS Panel,Intel,i7,256GB,Hybride,Nvidia,2-3 kg,16,2.8
147,289,Lenovo,Notebook,15.6,No OS,57472,1920x1080,Missing,Intel,i7,1TB,HDD,Nvidia,2-3 kg,8,2.7
148,295,Lenovo,Gaming,15.6,Windows 10,113285,1920x1080,IPS Panel,Intel,i7,1TB,HDD,Nvidia,3-4 kg,8,2.8
149,343,Lenovo,2 in 1 Convertible,13.9,Windows 10,183053,3840x2160,IPS Panel,Intel,i7,512GB,SSD,Intel,1-2 kg,16,1.8
150,345,Lenovo,Gaming,15.6,Windows 10,98460,1920x1080,IPS Panel,Intel,i7,256GB,Hybride,Nvidia,2-3 kg,16,2.8
151,385,Lenovo,Ultrabook,14.0,Windows 10,199013,2560x1440,Missing,Intel,i7,512GB,SSD,Intel,1-2 kg,8,2.7
152,389,Lenovo,2 in 1 Convertible,14.0,Windows 10,218809,2560x1440,Missing,Intel,i7,512GB,SSD,Intel,1-2 kg,16,2.7
153,396,Lenovo,Notebook,15.6,Windows 10,107229,1920x1080,IPS Panel,Intel,i7,256GB,SSD,AMD,2-3 kg,8,1.8
154,399,Lenovo,Ultrabook,14.0,Windows 10,228926,2560x1440,Missing,Intel,i7,1TB,SSD,Intel,1-2 kg,16,2.7
155,410,Lenovo,Workstation,15.6,Windows 10,167879,1920x1080,Missing,Intel,i7,512GB,SSD,Nvidia,2-3 kg,8,2.8
156,411,Lenovo,Ultrabook,14.0,Windows 10,169449,2560x1440,IPS Panel,Intel,i7,512GB,SSD,Nvidia,1-2 kg,8,2.8
157,419,Lenovo,Ultrabook,14.0,Windows 10,105993,1920x1080,IPS Panel,Intel,i7,256GB,SSD,AMD,1-2 kg,8,1.8
158,420,Lenovo,2 in 1 Convertible,15.6,Windows 10,165611,3840x2160,IPS Panel,Intel,i7,512GB,SSD,Nvidia,3-4 kg,16,2.8
159,431,Lenovo,Notebook,13.3,Windows 10,88082,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.7
160,433,Lenovo,Workstation,15.6,Windows 10,213228,3840x2160,IPS Panel,Intel,i7,512GB,SSD,Nvidia,2-3 kg,16,2.8
161,434,Lenovo,Notebook,15.6,Windows 10,213577,1920x1080,Missing,Intel,i7,512GB,SSD,Nvidia,2-3 kg,16,2.9
162,438,Lenovo,Ultrabook,14.0,Windows 10,207734,2560x1440,Missing,Intel,i7,512GB,SSD,Intel,1-2 kg,24,2.7
163,463,Lenovo,Notebook,14.0,No OS,69680,1920x1080,IPS Panel,Intel,i7,512GB,SSD,AMD,1-2 kg,8,2.7
164,464,Lenovo,Notebook,15.6,Windows 10,182268,1920x1080,Missing,Intel,i7,256GB,SSD,Nvidia,2-3 kg,8,2.9
165,469,Lenovo,Ultrabook,14.0,Windows 10,162036,2560x1440,IPS Panel,Intel,i7,256GB,SSD,Intel,1-2 kg,12,2.6
166,488,Lenovo,Ultrabook,12.5,Windows 10,156803,1920x1080,IPS Panel,Intel,i7,512GB,SSD,Intel,1-2 kg,16,2.7
167,496,Lenovo,Notebook,15.6,Windows 10,78393,1920x1080,Missing,Intel,i7,256GB,SSD,Intel,2-3 kg,8,1.8
168,509,Lenovo,Gaming,15.6,No OS,100204,1920x1080,IPS Panel,Intel,i7,256GB,Hybride,Nvidia,2-3 kg,8,2.8
169,520,Lenovo,Gaming,15.6,Windows 10,122006,1920x1080,IPS Panel,Intel,i7,256GB,Hybride,Nvidia,3-4 kg,8,2.8
170,526,Lenovo,Notebook,15.6,Windows 10,69680,1920x1080,Missing,Intel,i7,1TB,HDD,Nvidia,2-3 kg,4,2.7
171,539,Lenovo,Notebook,14.0,Windows 10,74913,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Nvidia,1-2 kg,8,2.7
172,549,Lenovo,Notebook,15.6,Windows 10,150786,1920x1080,IPS Panel,Intel,i7,512GB,SSD,Intel,1-2 kg,8,2.7
173,557,Lenovo,Notebook,17.3,Windows 10,82762,1600x900,Missing,Intel,i7,128GB,Hybride,Nvidia,2-3 kg,6,2.7
174,563,Lenovo,Notebook,17.3,Windows 10,261542,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Nvidia,3-4 kg,8,2.8
175,577,Lenovo,Gaming,17.3,Windows 10,232240,1920x1080,IPS Panel,Intel,i7,256GB,Hybride,Nvidia,3-4 kg,32,2.7
176,587,Lenovo,Ultrabook,14.0,Windows 10,145902,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Intel,1-2 kg,12,2.6
177,588,Lenovo,Notebook,15.6,Windows 10,53110,1366x768,Missing,Intel,i7,1TB,HDD,Intel,2-3 kg,12,1.8
178,596,Lenovo,2 in 1 Convertible,13.3,Windows 10,176600,1920x1080,IPS Panel,Intel,i7,512GB,SSD,Intel,1-2 kg,8,2.7
179,608,Lenovo,2 in 1 Convertible,15.6,Windows 10,113285,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Intel,3-4 kg,8,2.8
180,625,Lenovo,Notebook,15.6,Windows 10,78401,1920x1080,Missing,Intel,i7,1TB,HDD,Nvidia,2-3 kg,8,2.7
181,638,Lenovo,2 in 1 Convertible,13.3,Windows 10,153264,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.7
182,640,Lenovo,Gaming,15.6,Windows 10,96715,1920x1080,IPS Panel,Intel,i7,128GB,Hybride,Nvidia,2-3 kg,8,2.8
183,642,Lenovo,Ultrabook,14.0,Windows 10,213664,1920x1080,IPS Panel,Intel,i7,512GB,SSD,Intel,1-2 kg,16,2.7
184,649,Lenovo,Ultrabook,12.5,Windows 10,138140,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.7
185,658,Lenovo,Gaming,15.6,Windows 10,104303,1920x1080,IPS Panel,Intel,i7,128GB,Hybride,Nvidia,3-4 kg,8,2.6
186,684,Lenovo,2 in 1 Convertible,13.3,Windows 10,130727,1920x1080,IPS Panel,Intel,i7,512GB,SSD,Intel,1-2 kg,8,1.8
187,693,Lenovo,2 in 1 Convertible,14.0,Windows 10,225873,2560x1440,Missing,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.7
188,696,Lenovo,2 in 1 Convertible,14.0,Windows 10,152530,1920x1080,Full HD,Intel,i7,512GB,SSD,Intel,1-2 kg,16,2.7
189,707,Lenovo,Workstation,15.6,Windows 7,161774,1920x1080,Missing,Intel,i7,512GB,SSD,Nvidia,2-3 kg,16,2.5
190,710,Lenovo,Gaming,15.6,Windows 10,108925,1920x1080,IPS Panel,Intel,i7,128GB,Hybride,Nvidia,2-3 kg,8,2.8
